ID,L,Section,B,H,RECT_TH (in),Type,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
191,26.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.39,1.25,-0.6,0.82,-59.02,39.19,-30.72,15.24,-289.69,76.84,-1.16,1.61,3.125,1.5707963267948966,1.17717759351929,11,2,8,2,0.738747027718806,0.378304895055926
192,6.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.56,4.86,-1.09,0.83,-4.55,81.62,-20.13,10.47,-364.79,120.77,-1.45,1.94,3.796875,1.7671458676442586,1.94858034903190,10,3,6,4,0.771582342035246,0.531795555158893
193,26.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.56,1.14,-0.74,0.66,-68.64,22.04,-35.6,17.56,-342.13,265.44,-1.46,1.13,3.796875,3.0,2.31706188939370,10,3,9,3,0.722428676466682,0.703625885128495
194,6.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.67,11.06,-1.38,1.41,-5.08,176.65,-48.66,6.61,-588.71,444.17,-2.36,2.83,0.0,4.6875,0.900329057956316,11,0,11,3,51.0529662401661,0.782350456235941
195,26.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.1,1.65,-0.91,0.69,-73.81,13.58,-17.47,20.6,-370.68,398.41,-1.67,1.45,3.796875,4.0,2.15476396271485,10,3,9,4,0.782287653391742,0.799480307324954
196,26.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.21,4.76,-1.12,0.54,-67.65,23.21,-13.52,37.94,-331.56,264.13,-2.34,1.12,3.796875,3.0,2.31544205557859,10,3,9,3,0.700109467071853,0.700153349303004
197,6.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.41,20.44,-1.03,1.1,-5.99,175.62,-20.77,31.97,-574.73,455.15,-2.09,2.11,0.0,4.6875,0.905609429950936,11,0,11,3,49.8406198080730,0.801690366651932
198,6.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.79,12.68,-0.64,1.77,-148.33,5.71,-20.9,14.84,-560.72,308.51,-1.78,3.42,0.0,3.796875,1.07222495845738,11,0,10,3,49.4669072933302,0.658844064776336
199,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.16,13.29,-0.64,0.49,-45.22,65.43,-9.28,18.53,-504.08,17.7,-0.92,1.25,0.0,0.8835729338221293,2.43073709442126,11,0,6,2,55.3127448658576,0.153436848529518
200,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-6.76,18.08,-1.78,1.17,-30.95,38.63,-13.38,30.64,-269.74,16.3,-3.25,0.78,3.0,0.8835729338221293,1.10363939658351,9,3,6,2,0.715850136434938,0.136822413435299
201,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.2,1.99,-0.7,0.69,-17.9,15.68,-13.02,14.54,-69.45,60.48,-1.62,0.08,1.325359400733194,1.2026409377023426,6.42882079783030,6,3,7,2,0.401926016089501,0.383364301343050
202,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.65,0.86,-1.28,1.17,-18.89,15.14,-13.71,13.69,-86.64,56.45,-2.48,0.07,1.5707963267948966,1.2026409377023426,6.88103765587709,8,2,7,2,0.426933824529662,0.357618759476844
