ID,Length (ft),B,H,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
45,67.0,16.0,32.0,-7.67,3.63,-0.86,0.26,-40.6,38.96,-26.8,19.69,-220.99,146.44,-0.98,1.74,2.53125,2.0,1.14723023331676,10,2,9,2,0.689987962515980,0.573140629599153
46,87.0,16.0,32.0,-2.81,4.7,-1.16,1.11,-32.17,35.38,-21.71,18.44,-211.71,140.94,-2.13,1.55,2.53125,2.0,0.630895700678940,10,2,9,2,0.661013401259144,0.551614588471078
47,67.0,16.0,32.0,-4.38,1.33,-0.2,0.04,-41.84,43.15,-10.92,10.0,-253.73,176.69,-0.27,0.39,3.0,2.356194490192345,1.64272514229481,9,3,8,3,0.672693100224993,0.591081489839761
48,32.0,16.0,32.0,-14.78,-2.18,-0.21,0.13,-41.78,42.21,-9.8,9.27,-226.32,162.7,-0.33,0.33,3.0,2.356194490192345,1.54012295403982,9,3,8,3,0.600023262692312,0.544280708568278
49,67.0,16.0,32.0,-6.46,2.19,-0.15,0.17,-40.67,38.01,-9.68,10.06,-231.31,163.09,-0.31,0.25,3.0,2.356194490192345,1.01969455117129,9,3,8,3,0.613252831801691,0.545585376523666
50,87.0,16.0,32.0,-7.17,1.67,-2.1,2.47,-44.98,43.69,-21.15,21.61,-227.84,158.99,-2.71,4.53,3.0,2.356194490192345,1.69967017372444,9,3,8,3,0.604053111398977,0.531869636479844
51,67.0,16.0,32.0,-1.29,0.89,-0.12,0.07,-40.8,42.74,-13.02,12.61,-259.96,175.45,-0.18,0.22,3.0,2.356194490192345,1.59852807416989,9,3,8,3,0.689210177489809,0.586933314802117
52,67.0,16.0,32.0,-1.69,1.88,-0.3,0.38,-42.0,41.54,-27.93,33.45,-230.29,170.88,-0.65,0.81,3.0,2.356194490192345,1.46415719523401,9,3,8,3,0.610548591222219,0.571645282606929
53,32.0,16.0,32.0,0.23,2.83,-0.05,0.04,-39.36,41.87,-11.29,10.66,-218.29,183.57,-0.1,0.08,2.53125,2.356194490192345,1.50187699761215,10,2,8,3,0.681583043496320,0.614063286429974
54,67.0,16.0,32.0,-1.54,1.78,-0.55,0.42,-40.08,39.68,-29.03,22.02,-219.44,161.99,-1.15,0.89,2.53125,2.356194490192345,1.23982081376061,10,2,8,3,0.685173773717680,0.541875642908926
55,67.0,16.0,32.0,-1.28,1.13,-0.11,0.16,-39.1,39.74,-12.01,12.29,-240.69,160.72,-0.32,0.25,3.0,2.356194490192345,1.24738525138452,9,3,8,3,0.638121240267818,0.537657009717847
